时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),电机1(RPM),电机2(RPM),误差(°),能量(J),阶段,是否平衡
3.339,307.244,1590.000,333.721,1740.600,-500.000,-500.000,127.244,0.014,渐进启摆,0
3.359,341.125,851.400,13.755,1235.400,-500.000,-500.000,161.125,0.004,渐进启摆,0
3.379,324.360,-1716.600,357.979,-1785.000,500.000,500.000,144.360,0.018,渐进启摆,0
3.399,289.622,-807.600,317.966,-1133.400,500.000,500.000,109.622,0.001,渐进启摆,0
3.419,304.233,1539.600,332.512,1670.400,-500.000,-500.000,124.233,0.013,渐进启摆,0
3.439,337.830,856.200,10.173,1198.200,-500.000,-500.000,157.830,0.004,渐进启摆,0
3.459,320.955,-1655.400,354.858,-1744.200,500.000,500.000,140.955,0.016,渐进启摆,0
3.479,286.216,-898.200,315.813,-1048.200,500.000,500.000,106.216,0.002,渐进启摆,0
3.499,301.509,1572.600,330.359,1686.600,-500.000,-500.000,121.509,0.014,渐进启摆,0
3.519,335.083,835.200,6.790,832.200,-500.000,-500.000,155.083,0.004,渐进启摆,0
3.539,318.010,-1677.600,351.233,-1682.400,500.000,500.000,138.010,0.017,渐进启摆,0
3.559,283.535,-829.200,313.022,-1090.200,500.000,500.000,103.535,0.001,渐进启摆,0
3.579,299.399,1614.600,327.019,1697.400,-500.000,-500.000,119.399,0.014,渐进启摆,0
3.599,332.710,789.000,3.845,810.000,-500.000,-500.000,152.710,0.003,渐进启摆,0
3.619,315.044,-1662.000,347.432,-1666.800,500.000,500.000,135.044,0.016,渐进启摆,0
3.640,280.679,-781.800,309.836,-896.400,500.000,500.000,100.679,0.000,渐进启摆,0
3.659,297.202,1589.400,323.833,1615.200,-500.000,-500.000,117.202,0.014,渐进启摆,0
3.680,332.029,855.000,1.648,1075.800,-500.000,-500.000,152.029,0.004,渐进启摆,0
3.700,316.296,-1641.000,347.915,-1450.800,500.000,500.000,136.296,0.016,渐进启摆,0
3.720,282.458,-763.200,311.770,-994.800,500.000,500.000,102.458,0.000,渐进启摆,0
3.740,299.268,1651.800,323.921,1624.200,-500.000,-500.000,119.268,0.015,渐进启摆,0
3.760,333.984,848.400,0.945,1260.000,-500.000,-500.000,153.984,0.004,渐进启摆,0
3.780,318.208,-1621.200,348.970,-1288.200,500.000,500.000,138.208,0.015,渐进启摆,0
3.800,283.140,-1024.800,312.847,-1159.800,500.000,500.000,103.140,0.003,渐进启摆,0
3.820,297.751,1557.000,323.262,1457.400,-500.000,-500.000,117.751,0.013,渐进启摆,0
3.840,331.985,771.000,358.682,1025.400,-500.000,-500.000,151.985,0.003,渐进启摆,0
3.860,315.747,-1638.600,346.838,-1302.600,500.000,500.000,135.747,0.016,渐进启摆,0
