时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),电机1(RPM),电机2(RPM),倒立误差(°),系统能量(J),是否平衡,控制模式
2.820,273.450,1075.200,152.380,-1293.600,-264.000,336.000,93.450,0.003,0,能量启摆
2.840,289.468,62.400,131.572,-163.200,-264.000,336.000,109.468,-0.003,0,能量启摆
2.860,280.920,-834.000,141.152,996.600,-264.000,336.000,100.920,0.001,0,能量启摆
2.880,257.981,-1308.000,169.585,1591.200,192.000,-240.000,77.981,0.006,0,能量启摆
2.899,236.030,-355.200,199.138,661.200,192.000,-240.000,56.030,-0.006,0,能量启摆
2.920,238.843,454.200,196.084,-475.800,192.000,-240.000,58.843,-0.005,0,能量启摆
2.939,252.180,847.800,180.198,-1099.800,192.000,-240.000,72.180,-0.001,0,能量启摆
2.960,271.384,1023.600,156.577,-1278.000,-264.000,336.000,91.384,0.003,0,能量启摆
2.980,287.952,61.800,136.802,-122.400,-264.000,336.000,107.952,-0.003,0,能量启摆
3.000,279.888,-810.600,147.546,1037.400,-264.000,336.000,99.888,0.001,0,能量启摆
3.019,257.102,-1337.400,175.759,1639.200,192.000,-240.000,77.102,0.006,0,能量启摆
3.039,234.602,-373.800,204.390,453.600,192.000,-240.000,54.602,-0.006,0,能量启摆
3.060,236.558,448.200,201.182,-586.200,192.000,-240.000,56.558,-0.005,0,能量启摆
3.079,250.356,772.200,184.438,-1036.800,192.000,-240.000,70.356,-0.002,0,能量启摆
3.099,269.495,988.200,160.972,-1274.400,192.000,-240.000,89.495,0.002,0,能量启摆
3.119,290.918,1108.200,134.934,-1337.400,-264.000,336.000,110.918,0.005,0,能量启摆
3.140,308.188,140.400,113.533,-73.200,-264.000,336.000,128.188,-0.001,0,能量启摆
3.160,300.059,-817.800,124.475,1099.200,-264.000,336.000,120.059,0.002,0,能量启摆
3.180,277.559,-1291.800,152.930,1667.400,-264.000,336.000,97.559,0.007,0,能量启摆
3.200,249.280,-1442.400,188.943,1834.200,192.000,-240.000,69.280,0.007,0,能量启摆
3.219,224.385,-460.800,221.418,702.000,192.000,-240.000,44.385,-0.006,0,能量启摆
3.239,226.912,433.800,220.144,-468.000,192.000,-240.000,46.912,-0.006,0,能量启摆
3.259,238.975,818.400,203.533,-1008.600,192.000,-240.000,58.975,-0.002,0,能量启摆
3.279,258.267,1084.200,179.758,-1268.400,192.000,-240.000,78.267,0.002,0,能量启摆
3.300,279.910,1088.400,153.127,-1326.600,-264.000,336.000,99.910,0.004,0,能量启摆
3.320,296.499,28.800,132.231,-193.800,-264.000,336.000,116.499,-0.002,0,能量启摆
3.340,287.820,-853.200,142.559,1051.800,-264.000,336.000,107.820,0.002,0,能量启摆
3.360,265.671,-1243.200,171.189,1688.400,192.000,-240.000,85.671,0.005,0,能量启摆
3.380,242.249,-559.800,201.116,763.200,192.000,-240.000,62.249,-0.004,0,能量启摆
3.400,244.160,378.000,198.391,-520.800,192.000,-240.000,64.160,-0.005,0,能量启摆
3.419,256.992,928.200,182.725,-1050.600,192.000,-240.000,76.992,0.000,0,能量启摆
3.440,276.504,1070.400,159.565,-1234.800,-264.000,336.000,96.504,0.004,0,能量启摆
3.460,292.500,90.600,139.966,-35.400,-264.000,336.000,112.500,-0.002,0,能量启摆
3.481,283.777,-840.000,151.545,1125.600,-264.000,336.000,103.777,0.001,0,能量启摆
3.500,260.530,-1345.800,180.352,1666.200,192.000,-240.000,80.530,0.007,0,能量启摆
3.520,237.568,-351.000,209.773,658.800,192.000,-240.000,57.568,-0.006,0,能量启摆
3.539,240.205,433.800,208.521,-430.800,192.000,-240.000,60.205,-0.005,0,能量启摆
3.560,253.081,813.600,191.294,-1060.800,192.000,-240.000,73.081,-0.001,0,能量启摆
3.579,272.175,1051.200,167.300,-1287.600,-264.000,336.000,92.175,0.003,0,能量启摆
3.599,288.523,52.200,147.063,-107.400,-264.000,336.000,108.523,-0.003,0,能量启摆
3.620,280.129,-775.200,158.093,1054.800,-264.000,336.000,100.129,0.000,0,能量启摆
3.639,257.256,-1339.800,186.526,1621.200,192.000,-240.000,77.256,0.006,0,能量启摆
3.660,234.954,-367.200,215.464,521.400,192.000,-240.000,54.954,-0.006,0,能量启摆
3.680,237.261,470.400,211.421,-534.600,192.000,-240.000,57.261,-0.005,0,能量启摆
3.700,251.016,814.800,194.810,-1050.000,192.000,-240.000,71.016,-0.001,0,能量启摆
3.720,270.066,1036.200,171.233,-1247.400,-264.000,336.000,90.066,0.003,0,能量启摆
3.740,286.963,178.200,150.864,-159.000,-264.000,336.000,106.963,-0.003,0,能量启摆
3.760,279.097,-840.600,161.367,1072.800,-264.000,336.000,99.097,0.001,0,能量启摆
3.780,256.377,-1290.000,190.261,1631.400,192.000,-240.000,76.377,0.005,0,能量启摆
3.800,233.547,-423.600,220.364,597.600,192.000,-240.000,53.547,-0.005,0,能量启摆
3.820,234.954,376.200,218.474,-493.800,192.000,-240.000,54.954,-0.006,0,能量启摆
3.840,248.928,755.400,201.885,-997.800,192.000,-240.000,68.928,-0.002,0,能量启摆
3.860,268.000,982.200,178.132,-1275.000,192.000,-240.000,88.000,0.002,0,能量启摆
3.880,289.468,1139.400,151.941,-1386.000,-264.000,336.000,109.468,0.005,0,能量启摆
3.901,306.848,125.400,130.210,-156.600,-264.000,336.000,126.848,-0.002,0,能量启摆
3.920,299.048,-798.600,139.746,943.800,-264.000,336.000,119.048,0.002,0,能量启摆
3.940,276.570,-1317.600,167.959,1626.000,-264.000,336.000,96.570,0.007,0,能量启摆
3.960,248.577,-1452.600,203.137,1914.000,192.000,-240.000,68.577,0.008,0,能量启摆
3.980,223.462,-408.600,235.811,650.400,192.000,-240.000,43.462,-0.006,0,能量启摆
4.000,225.857,443.400,234.272,-507.600,192.000,-240.000,45.857,-0.006,0,能量启摆
4.020,237.788,779.400,218.013,-1010.400,192.000,-240.000,57.788,-0.003,0,能量启摆
4.040,256.750,1074.000,194.612,-1267.200,192.000,-240.000,76.750,0.002,0,能量启摆
4.059,278.350,1101.000,168.464,-1356.600,-264.000,336.000,98.350,0.004,0,能量启摆
4.079,294.587,40.200,147.788,-14.400,-264.000,336.000,114.587,-0.002,0,能量启摆
4.100,285.645,-814.800,158.774,1045.800,-264.000,336.000,105.645,0.001,0,能量启摆
4.120,263.254,-1302.000,187.383,1604.400,192.000,-240.000,83.254,0.006,0,能量启摆
4.139,240.139,-368.400,217.112,600.000,192.000,-240.000,60.139,-0.005,0,能量启摆
4.160,242.996,456.600,213.574,-590.400,192.000,-240.000,62.996,-0.005,0,能量启摆
4.179,255.740,862.200,197.688,-1087.800,192.000,-240.000,75.740,-0.000,0,能量启摆
4.200,275.076,1070.400,174.243,-1185.000,-264.000,336.000,95.076,0.003,0,能量启摆
4.220,291.379,100.800,154.248,-148.200,-264.000,336.000,111.379,-0.003,0,能量启摆
4.240,283.096,-844.200,165.015,1090.200,-264.000,336.000,103.096,0.001,0,能量启摆
4.260,260.156,-1336.200,193.755,1612.200,192.000,-240.000,80.156,0.006,0,能量启摆
4.279,237.722,-363.000,222.429,501.000,192.000,-240.000,57.722,-0.005,0,能量启摆
4.300,240.820,483.000,219.946,-491.400,192.000,-240.000,60.820,-0.005,0,能量启摆
4.320,253.828,848.400,202.720,-1017.000,192.000,-240.000,73.828,-0.001,0,能量启摆
