时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),M1(RPM),M2(RPM),误差(°),策略,是否平衡
3.020,7.800,-136.200,7.844,-365.400,350.000,350.000,172.200,增强启摆,0
3.040,356.506,453.000,356.616,241.800,-350.000,-350.000,176.506,增强启摆,0
3.060,9.185,-108.000,8.064,-216.000,350.000,350.000,170.815,增强启摆,0
3.080,356.792,251.400,358.198,286.800,-350.000,-350.000,176.792,增强启摆,0
3.100,7.866,-268.200,9.250,-367.200,350.000,350.000,172.134,增强启摆,0
3.119,355.605,409.200,358.440,281.400,-350.000,-350.000,175.605,增强启摆,0
3.140,7.537,-288.600,8.042,-496.800,350.000,350.000,172.463,增强启摆,0
3.159,355.254,278.400,357.100,235.200,-350.000,-350.000,175.254,增强启摆,0
3.179,5.845,-344.400,7.932,-362.400,350.000,350.000,174.155,增强启摆,0
3.200,353.870,393.000,356.792,238.800,-350.000,-350.000,173.870,增强启摆,0
3.220,5.471,-354.000,6.504,-452.400,350.000,350.000,174.529,增强启摆,0
3.239,353.496,262.800,355.298,198.600,-350.000,-350.000,173.496,增强启摆,0
3.259,3.911,-409.800,6.152,-321.600,350.000,350.000,176.089,增强启摆,0
3.279,352.046,330.600,354.814,200.400,-350.000,-350.000,172.046,增强启摆,0
3.300,3.560,-403.800,4.680,-337.800,350.000,350.000,176.440,增强启摆,0
3.319,351.628,212.400,351.541,122.400,-350.000,-350.000,171.628,增强启摆,0
3.339,2.153,-438.000,0.308,-272.400,350.000,350.000,177.847,增强启摆,0
3.359,350.244,312.600,348.838,342.000,-350.000,-350.000,170.244,增强启摆,0
3.379,1.934,-417.600,357.649,-380.400,350.000,350.000,178.066,增强启摆,0
3.399,349.805,171.000,347.454,451.800,-350.000,-350.000,169.805,增强启摆,0
3.420,0.483,-451.200,357.275,-372.000,350.000,350.000,179.517,增强启摆,0
3.439,348.486,263.400,345.542,217.200,-350.000,-350.000,168.486,增强启摆,0
3.459,0.352,-404.400,354.749,-377.400,350.000,350.000,179.648,增强启摆,0
3.479,348.091,267.600,345.410,394.800,-350.000,-350.000,168.091,增强启摆,0
3.499,359.055,-373.800,355.408,-397.200,350.000,350.000,179.055,增强启摆,0
3.519,346.707,201.600,345.476,403.200,-350.000,-350.000,166.707,增强启摆,0
3.539,358.660,-309.000,355.605,-332.400,350.000,350.000,178.660,增强启摆,0
3.559,346.179,204.600,345.190,337.200,-350.000,-350.000,166.179,增强启摆,0
3.579,358.748,-127.800,355.803,-323.400,350.000,350.000,178.748,增强启摆,0
3.599,347.783,263.400,346.663,468.600,-350.000,-350.000,167.783,增强启摆,0
3.619,0.176,-361.800,357.209,-280.800,350.000,350.000,179.824,增强启摆,0
3.639,348.245,276.600,346.926,387.000,-350.000,-350.000,168.245,增强启摆,0
3.659,359.099,-490.800,357.517,-282.000,350.000,350.000,179.099,增强启摆,0
3.679,346.772,203.400,346.816,368.400,-350.000,-350.000,166.772,增强启摆,0
3.699,358.682,-315.600,356.045,-397.200,350.000,350.000,178.682,增强启摆,0
3.719,346.333,195.000,345.586,302.400,-350.000,-350.000,166.333,增强启摆,0
3.739,358.616,-286.800,355.715,-333.600,350.000,350.000,178.616,增强启摆,0
3.759,347.915,249.000,345.212,322.200,-350.000,-350.000,167.915,增强启摆,0
3.779,0.022,-358.800,354.199,-442.800,350.000,350.000,179.978,增强启摆,0
3.799,348.354,268.800,343.960,363.000,-350.000,-350.000,168.354,增强启摆,0
3.819,0.439,-381.000,353.914,-367.800,350.000,350.000,179.561,增强启摆,0
3.839,350.002,279.600,343.477,276.000,-350.000,-350.000,170.002,增强启摆,0
3.859,1.582,-387.600,352.529,-493.200,350.000,350.000,178.418,增强启摆,0
3.879,350.244,297.000,342.114,328.800,-350.000,-350.000,170.244,增强启摆,0
3.899,1.890,-401.400,352.134,-451.200,350.000,350.000,178.110,增强启摆,0
3.919,350.134,294.600,341.741,246.000,-350.000,-350.000,170.134,增强启摆,0
3.939,0.571,-423.600,352.244,-365.400,350.000,350.000,179.429,增强启摆,0
3.959,348.772,242.400,341.565,255.000,-350.000,-350.000,168.772,增强启摆,0
3.979,0.352,-389.400,352.419,-351.600,350.000,350.000,179.648,增强启摆,0
3.999,348.420,244.800,343.125,285.000,-350.000,-350.000,168.420,增强启摆,0
4.019,359.055,-369.600,353.628,-365.400,350.000,350.000,179.055,增强启摆,0
4.040,346.970,196.800,343.608,349.800,-350.000,-350.000,166.970,增强启摆,0
4.059,0.110,-160.800,353.892,-373.800,350.000,350.000,179.890,增强启摆,0
4.079,349.585,282.600,344.971,390.600,-350.000,-350.000,169.585,增强启摆,0
4.099,1.802,-241.200,355.276,-322.800,350.000,350.000,178.198,增强启摆,0
4.119,351.716,332.400,345.278,316.800,-350.000,-350.000,171.716,增强启摆,0
4.139,3.252,-384.000,355.562,-339.000,350.000,350.000,176.748,增强启摆,0
4.159,352.024,318.000,345.146,325.800,-350.000,-350.000,172.024,增强启摆,0
4.179,1.978,-542.400,354.177,-442.200,350.000,350.000,178.022,增强启摆,0
4.199,350.574,293.400,343.850,363.000,-350.000,-350.000,170.574,增强启摆,0
4.220,1.692,-405.000,353.826,-373.800,350.000,350.000,178.308,增强启摆,0
4.240,350.178,277.800,343.411,280.800,-350.000,-350.000,170.178,增强启摆,0
4.260,1.890,-399.600,353.826,-368.400,350.000,350.000,178.110,增强启摆,0
4.280,350.024,147.000,343.235,277.800,-350.000,-350.000,170.024,增强启摆,0
