时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),M1(RPM),M2(RPM),误差(°),策略,是否平衡
2.620,357.715,97.200,0.044,0.000,-180.000,-0.000,177.715,表3-1四状态,0
2.640,359.275,-102.000,0.044,0.000,180.000,-0.000,179.275,表3-1四状态,0
2.660,357.957,100.200,0.044,0.000,-180.000,-0.000,177.957,表3-1四状态,0
2.680,359.495,-100.800,0.044,0.000,180.000,-0.000,179.495,表3-1四状态,0
2.700,358.000,92.400,0.044,0.000,-180.000,-0.000,178.000,表3-1四状态,0
2.720,359.604,-101.400,0.044,0.000,180.000,-0.000,179.604,表3-1四状态,0
2.740,358.286,105.000,0.022,0.000,-180.000,-0.000,178.286,表3-1四状态,0
2.760,359.846,-100.800,0.044,0.000,180.000,-0.000,179.846,表3-1四状态,0
2.780,358.308,93.000,0.044,0.000,-180.000,-0.000,178.308,表3-1四状态,0
2.800,359.934,-106.200,0.022,0.000,180.000,-0.000,179.934,表3-1四状态,0
2.820,358.616,109.800,0.022,0.000,-180.000,-0.000,178.616,表3-1四状态,0
2.840,0.198,-102.600,0.044,0.000,180.000,-0.000,179.802,表3-1四状态,0
2.860,358.660,95.400,0.022,0.000,-180.000,-0.000,178.660,表3-1四状态,0
2.880,0.264,-102.000,0.044,0.000,180.000,-0.000,179.736,表3-1四状态,0
2.900,358.660,98.400,0.022,0.000,-180.000,-0.000,178.660,表3-1四状态,0
2.921,0.308,-106.200,0.022,0.000,180.000,-0.000,179.692,表3-1四状态,0
2.940,358.616,111.000,0.022,0.000,-180.000,-0.000,178.616,表3-1四状态,0
2.960,0.022,-112.800,0.022,0.000,180.000,-0.000,179.978,表3-1四状态,0
2.980,358.374,93.000,0.022,0.000,-180.000,-0.000,178.374,表3-1四状态,0
3.000,359.670,-101.400,0.022,-10.200,180.000,3.060,179.670,表3-1四状态,0
3.020,358.110,110.400,0.022,0.000,-180.000,-0.000,178.110,表3-1四状态,0
3.040,359.626,-103.800,0.022,5.400,180.000,-1.620,179.626,表3-1四状态,0
3.060,358.022,110.400,0.022,0.000,-180.000,-0.000,178.022,表3-1四状态,0
3.080,359.275,-118.200,0.022,0.000,180.000,-0.000,179.275,表3-1四状态,0
3.101,357.407,111.000,0.022,0.000,-180.000,-0.000,177.407,表3-1四状态,0
3.120,359.099,-112.200,0.022,0.000,180.000,-0.000,179.099,表3-1四状态,0
3.140,357.605,95.400,0.022,0.000,-180.000,-0.000,177.605,表3-1四状态,0
3.160,359.297,-118.200,0.022,0.000,180.000,-0.000,179.297,表3-1四状态,0
3.181,357.605,92.400,0.022,4.800,-180.000,-1.440,177.605,表3-1四状态,0
3.200,359.385,-117.000,0.022,0.000,180.000,-0.000,179.385,表3-1四状态,0
3.220,357.517,117.000,0.044,0.000,-180.000,-0.000,177.517,表3-1四状态,0
3.240,359.099,-135.000,0.022,0.000,180.000,-0.000,179.099,表3-1四状态,0
3.260,357.275,110.400,0.044,4.800,-180.000,-1.440,177.275,表3-1四状态,0
3.280,359.121,-112.800,0.022,0.000,180.000,-0.000,179.121,表3-1四状态,0
3.300,357.561,121.200,0.022,0.000,-180.000,-0.000,177.561,表3-1四状态,0
3.320,359.341,-123.000,0.022,0.000,180.000,-0.000,179.341,表3-1四状态,0
3.340,357.583,116.400,0.022,-4.800,-180.000,1.440,177.583,表3-1四状态,0
3.360,359.033,-121.800,0.022,0.000,180.000,-0.000,179.033,表3-1四状态,0
3.381,356.968,112.800,0.022,0.000,-180.000,-0.000,176.968,表3-1四状态,0
3.400,358.857,-124.200,0.022,0.000,180.000,-0.000,178.857,表3-1四状态,0
3.420,357.188,112.200,0.022,0.000,-180.000,-0.000,177.188,表3-1四状态,0
3.440,359.033,-114.600,0.022,0.000,180.000,-0.000,179.033,表3-1四状态,0
3.460,357.561,108.600,0.022,0.000,-180.000,-0.000,177.561,表3-1四状态,0
3.480,359.253,-123.000,0.022,0.000,180.000,-0.000,179.253,表3-1四状态,0
3.500,357.583,113.400,0.022,0.000,-180.000,-0.000,177.583,表3-1四状态,0
3.520,359.319,-113.400,0.022,0.000,180.000,-0.000,179.319,表3-1四状态,0
3.540,357.539,125.400,0.022,0.000,-180.000,-0.000,177.539,表3-1四状态,0
3.560,359.033,-121.200,0.022,0.000,180.000,-0.000,179.033,表3-1四状态,0
3.580,357.341,107.400,0.022,0.000,-180.000,-0.000,177.341,表3-1四状态,0
3.600,359.033,-117.600,0.022,0.000,180.000,-0.000,179.033,表3-1四状态,0
3.620,357.319,111.600,0.022,-4.800,-180.000,1.440,177.319,表3-1四状态,0
3.640,358.726,-116.400,0.022,0.000,180.000,-0.000,178.726,表3-1四状态,0
3.660,357.056,112.200,0.022,0.000,-180.000,-0.000,177.056,表3-1四状态,0
3.680,358.726,-121.800,0.022,0.000,180.000,-0.000,178.726,表3-1四状态,0
3.700,356.968,102.600,0.022,0.000,-180.000,-0.000,176.968,表3-1四状态,0
3.720,358.374,-121.800,0.022,0.000,180.000,-0.000,178.374,表3-1四状态,0
3.740,356.287,112.800,0.022,0.000,-180.000,-0.000,176.287,表3-1四状态,0
3.760,357.803,-117.000,0.022,-5.400,180.000,1.620,177.803,表3-1四状态,0
3.780,355.803,106.800,0.022,0.000,-180.000,-0.000,175.803,表3-1四状态,0
3.800,357.649,-123.600,0.022,0.000,180.000,-0.000,177.649,表3-1四状态,0
3.820,355.605,115.800,0.022,0.000,-180.000,-0.000,175.605,表3-1四状态,0
3.840,357.627,-121.200,0.022,0.000,180.000,-0.000,177.627,表3-1四状态,0
3.860,355.891,118.200,0.022,0.000,-180.000,-0.000,175.891,表3-1四状态,0
3.880,357.891,-123.000,0.022,0.000,180.000,-0.000,177.891,表3-1四状态,0
3.900,355.957,123.600,0.022,0.000,-180.000,-0.000,175.957,表3-1四状态,0
3.921,357.957,-138.600,0.022,0.000,180.000,-0.000,177.957,表3-1四状态,0
3.940,355.935,129.600,0.022,0.000,-180.000,-0.000,175.935,表3-1四状态,0
3.960,357.649,-121.800,0.022,0.000,180.000,-0.000,177.649,表3-1四状态,0
3.980,355.627,117.000,0.022,0.000,-180.000,-0.000,175.627,表3-1四状态,0
4.000,357.627,-132.600,0.022,0.000,180.000,-0.000,177.627,表3-1四状态,0
4.021,355.957,118.800,0.022,0.000,-180.000,-0.000,175.957,表3-1四状态,0
4.041,357.847,-122.400,0.022,0.000,180.000,-0.000,177.847,表3-1四状态,0
4.060,355.583,118.200,0.000,0.000,-180.000,-0.000,175.583,表3-1四状态,0
4.081,357.363,-123.000,359.934,-5.400,180.000,1.620,177.363,表3-1四状态,0
4.101,355.188,112.800,359.890,0.000,-180.000,-0.000,175.188,表3-1四状态,0
4.120,357.231,-132.600,359.824,0.000,180.000,-0.000,177.231,表3-1四状态,0
4.140,355.408,118.800,359.780,0.000,-180.000,-0.000,175.408,表3-1四状态,0
4.160,357.495,-110.400,359.758,0.000,180.000,-0.000,177.495,表3-1四状态,0
4.180,355.913,112.800,359.736,0.000,-180.000,-0.000,175.913,表3-1四状态,0
4.200,357.847,-123.000,359.736,0.000,180.000,-0.000,177.847,表3-1四状态,0
4.220,356.067,129.000,359.758,4.800,-180.000,-1.440,176.067,表3-1四状态,0
4.240,357.979,-139.200,359.758,0.000,180.000,-0.000,177.979,表3-1四状态,0
4.260,356.089,112.200,359.758,0.000,-180.000,-0.000,176.089,表3-1四状态,0
4.280,357.715,-119.400,359.780,0.000,180.000,-0.000,177.715,表3-1四状态,0
4.300,355.825,118.200,359.780,0.000,-180.000,-0.000,175.825,表3-1四状态,0
4.320,357.715,-122.400,359.780,0.000,180.000,-0.000,177.715,表3-1四状态,0
4.340,355.759,123.600,359.758,0.000,-180.000,-0.000,175.759,表3-1四状态,0
4.360,357.385,-123.600,359.780,0.000,180.000,-0.000,177.385,表3-1四状态,0
4.381,355.430,111.600,359.758,0.000,-180.000,-0.000,175.430,表3-1四状态,0
4.400,357.319,-127.200,359.736,0.000,180.000,-0.000,177.319,表3-1四状态,0
4.420,355.342,107.400,359.736,0.000,-180.000,-0.000,175.342,表3-1四状态,0
4.440,357.385,-124.200,359.736,0.000,180.000,-0.000,177.385,表3-1四状态,0
4.460,355.737,111.600,359.736,0.000,-180.000,-0.000,175.737,表3-1四状态,0
4.480,357.671,-124.200,359.736,0.000,180.000,-0.000,177.671,表3-1四状态,0
4.500,355.825,113.400,359.714,0.000,-180.000,-0.000,175.825,表3-1四状态,0
4.520,357.781,-124.200,359.692,0.000,180.000,-0.000,177.781,表3-1四状态,0
4.540,356.265,100.800,359.692,0.000,-180.000,-0.000,176.265,表3-1四状态,0
4.560,358.044,-124.200,359.692,0.000,180.000,-0.000,178.044,表3-1四状态,0
4.580,356.331,116.400,359.692,0.000,-180.000,-0.000,176.331,表3-1四状态,0
4.600,358.154,-128.400,359.692,0.000,180.000,-0.000,178.154,表3-1四状态,0
4.620,356.331,111.000,359.692,0.000,-180.000,-0.000,176.331,表3-1四状态,0
4.640,357.891,-124.800,359.692,0.000,180.000,-0.000,177.891,表3-1四状态,0
4.660,356.089,117.600,359.692,0.000,-180.000,-0.000,176.089,表3-1四状态,0
4.680,357.891,-129.000,359.736,0.000,180.000,-0.000,177.891,表3-1四状态,0
4.700,356.001,112.200,359.736,0.000,-180.000,-0.000,176.001,表3-1四状态,0
4.720,357.539,-124.200,359.758,0.000,180.000,-0.000,177.539,表3-1四状态,0
4.740,355.671,105.600,359.758,-4.800,-180.000,1.440,175.671,表3-1四状态,0
4.760,357.473,-108.600,359.780,0.000,180.000,-0.000,177.473,表3-1四状态,0
4.780,355.540,106.200,359.802,0.000,-180.000,-0.000,175.540,表3-1四状态,0
4.800,357.495,-130.200,359.824,4.800,180.000,-1.440,177.495,表3-1四状态,0
4.820,355.891,111.600,359.824,0.000,-180.000,-0.000,175.891,表3-1四状态,0
4.840,357.737,-118.200,359.846,5.400,180.000,-1.620,177.737,表3-1四状态,0
4.860,355.957,106.200,359.846,0.000,-180.000,-0.000,175.957,表3-1四状态,0
4.880,357.825,-124.200,359.846,5.400,180.000,-1.620,177.825,表3-1四状态,0
4.900,356.396,116.400,359.846,0.000,-180.000,-0.000,176.396,表3-1四状态,0
4.920,358.132,-114.600,359.846,0.000,180.000,-0.000,178.132,表3-1四状态,0
4.940,356.462,110.400,359.846,0.000,-180.000,-0.000,176.462,表3-1四状态,0
