时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),电机1(RPM),电机2(RPM),倒立误差(°),系统能量(J),是否平衡,控制模式
1.780,245.127,906.600,82.925,-1297.200,180.000,-240.000,65.127,-0.001,0,能量启摆
1.800,264.639,1006.800,55.920,-1375.200,180.000,-240.000,84.639,0.002,0,能量启摆
1.820,285.952,1143.600,27.532,-1410.600,-264.000,336.000,105.952,0.005,0,能量启摆
1.840,303.267,270.000,4.087,-321.000,-264.000,336.000,123.267,-0.001,0,能量启摆
1.860,296.257,-687.000,14.150,963.600,-264.000,336.000,116.257,0.001,0,能量启摆
1.880,275.032,-1272.000,41.506,1627.800,-264.000,336.000,95.032,0.006,0,能量启摆
1.900,247.170,-1472.400,76.860,1911.000,180.000,-240.000,67.170,0.008,0,能量启摆
1.920,221.133,-726.000,109.863,856.200,180.000,-240.000,41.133,-0.004,0,能量启摆
1.940,221.660,318.600,107.688,-437.400,180.000,-240.000,41.660,-0.007,0,能量启摆
1.960,231.306,659.400,93.604,-1035.600,180.000,-240.000,51.306,-0.004,0,能量启摆
1.980,248.379,925.200,69.829,-1299.600,180.000,-240.000,68.379,-0.000,0,能量启摆
2.000,268.198,1060.800,43.132,-1375.800,180.000,-240.000,88.198,0.003,0,能量启摆
2.020,289.490,1055.400,15.337,-1408.800,-264.000,336.000,109.490,0.004,0,能量启摆
2.039,306.057,93.600,351.519,-502.800,-264.000,336.000,126.057,-0.002,0,能量启摆
2.059,297.070,-708.600,0.835,955.800,-264.000,336.000,117.070,0.001,0,能量启摆
2.079,275.823,-1284.000,28.455,1658.400,-264.000,336.000,95.823,0.007,0,能量启摆
2.099,248.115,-1432.800,64.248,1895.400,180.000,-240.000,68.115,0.007,0,能量启摆
2.119,222.561,-634.200,96.965,825.600,180.000,-240.000,42.561,-0.005,0,能量启摆
2.140,223.264,331.800,94.153,-493.800,180.000,-240.000,43.264,-0.006,0,能量启摆
2.159,233.701,740.400,78.750,-1041.000,180.000,-240.000,53.701,-0.003,0,能量启摆
2.179,251.191,917.400,55.173,-1283.400,180.000,-240.000,71.191,-0.000,0,能量启摆
