时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),M1(RPM),M2(RPM),误差(°),能量(J),模式,是否平衡
2.219,6.064,132.600,2.329,94.200,-220.000,-220.000,173.936,0.000,文献能量启摆,0
2.240,9.910,-158.400,5.559,-118.200,220.000,220.000,170.090,0.000,文献能量启摆,0
2.260,4.219,24.600,2.373,115.800,-86.559,-108.199,175.781,-0.000,文献能量启摆,0
2.280,9.009,94.800,6.108,-46.800,-220.000,-220.000,170.991,0.000,文献能量启摆,0
2.300,6.262,-429.600,3.296,-380.400,220.000,220.000,173.738,0.001,文献能量启摆,0
2.320,355.188,-19.800,354.880,10.800,69.670,87.088,175.188,-0.000,文献能量启摆,0
2.340,0.747,339.600,358.528,256.800,-220.000,-220.000,179.253,0.001,文献能量启摆,0
2.369,0.527,-518.400,0.527,-315.000,220.000,220.000,179.473,0.002,文献能量启摆,0
2.385,351.123,-348.600,351.738,-507.000,220.000,220.000,171.123,0.001,文献能量启摆,0
2.401,353.760,453.000,351.870,180.000,-220.000,-220.000,173.760,0.001,文献能量启摆,0
2.420,3.164,24.600,358.792,20.400,-86.558,-108.197,176.836,-0.000,文献能量启摆,0
2.440,357.209,-324.600,355.364,-299.400,220.000,220.000,177.209,0.001,文献能量启摆,0
2.460,353.101,136.200,349.761,79.800,-220.000,-220.000,173.101,0.000,文献能量启摆,0
2.479,357.649,-129.000,351.123,-112.800,220.000,220.000,177.649,0.000,文献能量启摆,0
2.499,352.991,138.600,348.201,93.000,-220.000,-220.000,172.991,0.000,文献能量启摆,0
2.519,356.594,-139.800,349.980,-101.400,220.000,220.000,176.594,0.000,文献能量启摆,0
2.539,352.024,150.600,347.542,106.200,-220.000,-220.000,172.024,0.000,文献能量启摆,0
2.559,356.396,-129.000,349.958,-113.400,220.000,220.000,176.396,0.000,文献能量启摆,0
2.580,351.826,155.400,347.476,112.200,-220.000,-220.000,171.826,0.000,文献能量启摆,0
2.600,356.396,-132.000,350.002,-106.800,220.000,220.000,176.396,0.000,文献能量启摆,0
2.620,351.716,120.000,347.476,114.600,-220.000,-220.000,171.716,0.000,文献能量启摆,0
2.640,355.540,-142.800,350.090,-118.200,220.000,220.000,175.540,0.000,文献能量启摆,0
2.660,350.837,153.600,347.410,123.000,-220.000,-220.000,170.837,0.000,文献能量启摆,0
2.680,355.342,-126.600,349.651,-107.400,220.000,220.000,175.342,0.000,文献能量启摆,0
2.700,350.684,113.400,347.036,100.200,-220.000,-220.000,170.684,0.000,文献能量启摆,0
2.720,355.364,-105.600,349.629,-108.000,220.000,220.000,175.364,0.000,文献能量启摆,0
2.740,351.409,146.400,346.970,94.200,-220.000,-220.000,171.409,0.000,文献能量启摆,0
2.760,356.221,-123.600,349.255,-108.600,220.000,220.000,176.221,0.000,文献能量启摆,0
2.780,351.672,157.800,346.487,106.800,-220.000,-220.000,171.672,0.000,文献能量启摆,0
2.800,356.396,-94.200,349.211,-118.800,220.000,220.000,176.396,0.000,文献能量启摆,0
2.820,352.485,157.200,346.267,98.400,-220.000,-220.000,172.485,0.000,文献能量启摆,0
2.840,357.253,-123.000,349.365,-119.400,220.000,220.000,177.253,0.000,文献能量启摆,0
2.859,352.727,96.000,346.707,111.600,-220.000,-220.000,172.727,0.000,文献能量启摆,0
2.880,356.704,-118.200,349.277,-108.000,220.000,220.000,176.704,0.000,文献能量启摆,0
2.899,352.002,131.400,346.443,94.800,-220.000,-220.000,172.002,0.000,文献能量启摆,0
2.919,356.375,-103.800,349.167,-99.600,220.000,220.000,176.375,0.000,文献能量启摆,0
2.939,352.617,123.000,346.487,90.000,-220.000,-220.000,172.617,0.000,文献能量启摆,0
2.959,357.034,-108.000,349.036,-118.200,220.000,220.000,177.034,0.000,文献能量启摆,0
2.979,352.947,123.000,346.487,90.600,-220.000,-220.000,172.947,0.000,文献能量启摆,0
2.999,357.078,-103.800,348.376,-111.600,220.000,220.000,177.078,0.000,文献能量启摆,0
3.020,353.145,127.800,346.553,73.800,-220.000,-220.000,173.145,0.000,文献能量启摆,0
3.040,357.034,-87.600,347.915,-78.600,220.000,220.000,177.034,0.000,文献能量启摆,0
3.060,353.826,118.200,346.838,64.200,-220.000,-220.000,173.826,0.000,文献能量启摆,0
3.080,357.561,-103.800,347.805,-64.800,220.000,220.000,177.561,0.000,文献能量启摆,0
3.100,354.331,101.400,346.948,64.200,-220.000,-220.000,174.331,0.000,文献能量启摆,0
3.120,357.451,-104.400,347.673,-64.200,220.000,220.000,177.451,0.000,文献能量启摆,0
3.140,354.639,99.000,346.926,64.200,-220.000,-220.000,174.639,0.000,文献能量启摆,0
3.159,356.814,-105.600,347.761,-60.000,220.000,220.000,176.814,0.000,文献能量启摆,0
3.179,354.155,88.200,346.948,58.800,-220.000,-220.000,174.155,0.000,文献能量启摆,0
3.199,356.462,-101.400,347.695,-60.000,220.000,220.000,176.462,0.000,文献能量启摆,0
3.219,354.397,86.400,346.794,67.200,-220.000,-220.000,174.397,0.000,文献能量启摆,0
3.240,356.902,-89.400,347.717,-63.000,220.000,220.000,176.902,0.000,文献能量启摆,0
3.260,354.683,92.400,346.553,87.600,-220.000,-220.000,174.683,0.000,文献能量启摆,0
3.279,357.188,-99.600,347.717,-83.400,220.000,220.000,177.188,0.000,文献能量启摆,0
3.299,355.166,91.200,346.509,87.600,-220.000,-220.000,175.166,0.000,文献能量启摆,0
3.319,358.000,-95.400,348.003,-91.800,220.000,220.000,178.000,0.000,文献能量启摆,0
3.339,355.100,98.400,346.223,93.000,-220.000,-220.000,175.100,0.000,文献能量启摆,0
3.359,358.682,-123.000,348.003,-88.200,220.000,220.000,178.682,0.000,文献能量启摆,0
3.379,355.518,132.000,346.685,103.800,-220.000,-220.000,175.518,0.000,文献能量启摆,0
3.399,359.626,-152.400,348.245,-89.400,220.000,220.000,179.626,0.000,文献能量启摆,0
3.419,355.540,131.400,346.838,87.600,-220.000,-220.000,175.540,0.000,文献能量启摆,0
3.439,359.868,-148.200,348.179,-87.000,220.000,220.000,179.868,0.000,文献能量启摆,0
3.459,356.331,132.600,346.838,87.600,-220.000,-220.000,176.331,0.000,文献能量启摆,0
3.479,0.461,-148.200,347.871,-88.800,220.000,220.000,179.539,0.000,文献能量启摆,0
3.499,356.353,114.600,346.575,87.600,-220.000,-220.000,176.353,0.000,文献能量启摆,0
3.519,0.549,-141.600,347.849,-67.200,220.000,220.000,179.451,0.000,文献能量启摆,0
3.540,356.462,110.400,346.838,88.200,-220.000,-220.000,176.462,0.000,文献能量启摆,0
3.560,359.934,-141.000,348.047,-60.600,220.000,220.000,179.934,0.000,文献能量启摆,0
3.579,355.781,115.200,347.036,89.400,-220.000,-220.000,175.781,0.000,文献能量启摆,0
3.599,359.758,-118.200,348.003,-77.400,220.000,220.000,179.758,0.000,文献能量启摆,0
3.619,355.869,103.200,346.729,94.200,-220.000,-220.000,175.869,0.000,文献能量启摆,0
3.639,359.099,-99.600,347.871,-97.200,220.000,220.000,179.099,0.000,文献能量启摆,0
3.659,355.188,104.400,346.487,88.800,-220.000,-220.000,175.188,0.000,文献能量启摆,0
3.679,358.748,-105.600,347.322,-100.800,220.000,220.000,178.748,0.000,文献能量启摆,0
3.700,355.386,104.400,346.223,82.200,-220.000,-220.000,175.386,0.000,文献能量启摆,0
3.720,358.638,-106.200,347.168,-94.800,220.000,220.000,178.638,0.000,文献能量启摆,0
3.740,355.715,109.200,345.564,85.800,-220.000,-220.000,175.715,0.000,文献能量启摆,0
3.760,358.396,-111.600,346.597,-99.000,220.000,220.000,178.396,0.000,文献能量启摆,0
3.779,356.418,87.600,344.575,99.600,-220.000,-220.000,176.418,0.000,文献能量启摆,0
3.799,358.923,-89.400,345.674,-103.200,220.000,220.000,178.923,0.000,文献能量启摆,0
3.819,357.319,87.600,343.103,94.200,-220.000,-220.000,177.319,0.000,文献能量启摆,0
3.839,359.626,-86.400,344.597,-93.000,220.000,220.000,179.626,0.000,文献能量启摆,0
